key,en
s1,"I was at the entrance of my apartment, and a girl in sportswear gave me a brochure"
ng,"Girl in sportswear"
s2,"Hi handsome! We have opened a gym just next to the mall."
s3,"It's such a, such a, such a, good facility!"
s4,"Now it's on [font_size=9]pre-order[/font_size], just 100 for a month"
o5_0,"Pay now"
o5_1,"Have a look first"
nm,"Me"
s10,"Then I'll need to have a look first"
s11,"No problem, it's just at the mall's Section B, easy to get there!"
s12,"I walked to Section B of the mall, and sure enough, I saw a storefront under renovation, surrounded by barriers. A simple piece of paper was taped on it: ""Fitness Club - Coming Soon."""
s13,"The 100 dollar they asked me to pay is probably just 1/N of the renovation team's unpaid balance."
s20,"Next Monday, We'll meet again!"
s21,"On Monday, I hurried to the mall, full of excitement."
s22,"The scene before my eyes left me petrified - a storefront under renovation, fenced off, with nothing but a simple piece of paper taped to it: ""Fitness Club - Coming Soon."""
s23,"So sorry, dear~ The fire safety inspection hasn't been approved yet. Let's wait patiently for one more week, okay?~ [Cute Emoji]"
o24_0,"Wait for a week"
o24_1,"Ask for refund"
s25_1,"It's been 2 weeks, the gym is still closed."
s25_3,"It's been a month, the gym is still closed."
s25_7,"It's been 2 months, the gym is still closed."
s25_l7,"It's been another week, the gym is still closed."
s25,"The gym room will likely not open in the future..."
ngw,"Hey girl (WeChat)"
s26_7,"Hi dear~ My apology..."
s26,"Hi dear~ My apology~ Like this, this this...and that, that, that... Be patient, let's wait for a week~[Cute Emoji]"
s50,"I insist to ask for the refund, the girl just told me the ""contact of the officer""."
nl,"Officer (Phone)"
s51,"Refund? Alright, regarding our rules, 30% as the processing fee is non-refundable."
梁总，上周的工资…………,"Mr. Liang, could you pay...the wage of last week? "
……嗯……嗯……哦……好吧……,"...Umm...Umm.. Oh...Umm, okay..."
点击鼠标开始,"Click to Start"